uuid,URL,date,headline,body
4bf999a5-e69d-4253-895f-99bcb0801f3c,https://www.aljazeera.com/news/2003/5/12/eu-hopes-lithuania-vote-encourages-neighbours,2026-03-17,EU hopes Lithuania vote encourages neighbours,"The European Union hopes Lithuania’s overwhelming “yes”  vote to EU entry would prompt apathetic East European neighbours to hold elections and join the bloc. Lithuanian President RolandPaksas casts his vote during thetwo-day EU referendum The Baltic Republic election’s committee said 91% of Lithuanians who voted favoured joining the EU next year. The European Commission hailed the referendum, saying the scale of its “yes” votes would boost the country’s role in an enlarged EU bloc. “Welcome Lithuania!…It is encouraging for all of us to see such enthusiasm for EU accession,” said Guenter Verheugen, EU Commissioner for Enlargement, who oversaw the marathon accession talks with the 10 candidates that ended last December. The Commission is the EU’s executive arm and hopes the strong Lithuanian result would boost the referendum campaigns in neighbouring Poland and even in states hesistant to join such as Latvia and Estonia. The pro-EU political elite led a frantic campaign urging people to vote after a low turnout on the first day of voting. Fears that apathy could kill the vote lasted into the final day of voting but numbers climbed in the middle of the day on Sunday. Lithuania is one of 10 mostly ex-Communist states hoping to join the EU. It is the fourth to vote in favour of joining the wealthy club after Malta, Slovenia and Hungary did so earlier this year. Follow Al Jazeera English:"
c11cd095-dddf-4cc2-b26e-810736e422f9,https://www.aljazeera.com/news/2003/5/14/blast-in-yemen-court-injures-judge,2026-03-17,Blast in Yemen court injures judge,A Yemeni judge and several other people were injured when an explosive device was thrown into a court house on Wednesday. The attack in the province of Ebb came days after a Yemeni man was sentenced to death in the same court for murdering an American missionary doctor and two of her colleagues last year. Police cordoned off the court house and were checking a suspect. No official comment was immediately available. The extent of the judge’s wounds was unclear. Four days ago Abdel Razzak Kamel was sentenced to death after he confessed to killing three Christian missionaries to get “closer to God and take revenge on Christians and Americans”. Kamel claimed the missionaries in the town of Jibla were trying to convert Muslims to Christianity. Follow Al Jazeera English:
3d46e236-8adb-4f28-a52f-7f61058215f1,https://www.aljazeera.com/news/2003/4/27/unilateralism-has-trumped-diplomacy-in-us-policy,2026-03-17,Unilateralism has trumped diplomacy in US policy,"Multilateralist tradition in US diplomacy has given way to unilateralism which could have far-reaching consequences for world politics When John Brady Kiesling, a 20 year-old veteran of America’s diplomatic corps, resigned in protest over US policy toward Iraq in late February, his resignation letter made its way to cyberspace, shuttled around the globe by anti-war movements. The Americanpress, who gave it scant coverage, focused also on his anti-Iraq stance. However, current and former American diplomats see a larger issue at stake in the Kiesling letter: the future of American diplomacy. In the three page, strongly-worded resignation letter addressed to Secretary Colin Powell, Kiesling wrote: “Why does our President condone the swaggering and contemptuous approach to our friends and allies this Administration is fostering, including among its most senior officials? Has ‘oderint dum metuant’ [‘Let them hate as long as they also fear’, a saying attributed to 1st century Roman emperor Caligula] really become our motto?” He added with alarm: “We have begun to dismantle the largest and most effective web of relationships the world has ever known. Our current course will bring instability and danger, not security.” Bush: penchant forunilateralism Early April another diplomat resigned from government service in protest at President George W. Bush’s preparations to attack Iraq, the second to do so in less than a month. John H. Brown, who joined the US diplomatic corps in 1981 and served in London, Prague, Krakow, Kiev, Belgrade and Moscow, said in a letter toSecretary of State Colin Powell made available to the media: “I cannot ingood conscience support President Bush’s war plans against Iraq. “Throughout the globe the United States is becoming associated with the unjustified use of force. The president’s disregard for views in other nations, borne out by his neglect of public diplomacy, is giving birth to an anti-American century,” the diplomat added. One American diplomat, who asked not be named, said: “Kiesling struck a chord with many of us in the State Department. It wasn’t what he said about Iraq because the views on that issue are diverse, but many of us share his sentiment that the White House predilection for unilateralism and the tone of belligerence from some non-diplomat officials threatens to undermine years of carefully cultivated relationships around the world.” Retired American diplomats, more free to speak their minds openly, also expressed solidarity with Kiesling. Retired Ambassador Bruce Laingen, who currently heads the American Academy of Diplomacy, says: “Among retired foreign service officers, there is much agreement with the sentiments Kiesling expressed. Though I personally don’t agree with everything he wrote, I take his point that this President is excessively unilateralist in his apparent views.” “Kiesling, like so many of us, believes in multilateralism”, another diplomat, recently returned from Asia, added, “and he believes that we can’t just tell the world: it’s our way or the highway. That goes against the ideological tradition of post World War II American foreign policy.” Post World War II American diplomacy has been marked by a decidedly multilateralist outlook, creating the “web of relationships” that Kiesling describes. American diplomats helped create the international institutional and financial architecture that linksthe modern world: the United Nations, the World Bank, the IMF, the World Trade Organization. Multilateral regional security organizations, like NATO, have been a bedrock of American and Western European security. They also helped the US achieve its key goals: for example, containing the Soviet Union. A flurry of global treaties, signed and often initiated by the United States over the past 50 years, sets world targets on how nations should treat prisoners of war to numbers of strategic warheads. This system, this “web of relationships” was imitated by others, spawning other regional, security and financial networks. The system never worked perfectly, and the United States – like many other nations – often broke the rules and spirit of multilateralism, but the ideal of multilateral engagement remained a permanent fixture of American diplomacy. Today, that idea is undersiege by an administration widely regarded as the most unilateralist in the post World War II era. Multilateralism, it seems, is no longer the default option in the American diplomatic operating system. Even before Washington’s attempt to build a war coalition on Iraq and the tragedy of September 11, the Bush administration signalled a “go it alone” attitude. Withdrawing from the Kyoto environmental protocol saying the treaty was “dead,” demanding an exemption for Americans to the treaty for an International Criminal Court while threatening to withdraw funds for UN peace-keeping operations unless their demands were met, and refusing to sign a number of treaties, including the benign 1989 Convention on Children’s Rights (only the US and Somalia have not signed), Washington has displayed a stark unilateralist streak. The message, to many internationalist and European ears, has been: We are not interested in your treaties and conventions. The message in US war planning on Iraq unilateralists, particularly the neo-conservative intellectuals and policy-makers who closely influence President Bush’s foreign policy thinking argue that the Cold War is over, the US is the only superpower, and new threats loom over the horizon. Without decisive US leadership, even if the world doesn’t like it, America – and the world – face serious security problems. They often point to Bosnia as an example: Europe dithered, America acted, and the war ended. White House foreign policy strategists often describe their new outlook as “peace through strength.” As a result, America’s military budgets have dramatically risen. Within a few years, America will spend more on defence than the combined defence budgets of the next closest 20 countries. In this equation, “peace through strength,” and the strident, unilateralist rhetoric emerging from Washington, what role will American diplomacy play? What role for America’s diplomats? Retired Ambassador Theodore Eliot, who serves as dean emeritus of a prestigious school of diplomacy in Boston, says: “Today, in this era of global interdependence and the very serious threats we face, such as the proliferation of weapons of mass destruction, we must, in fact, be more multilateral-minded, not less. Now, more than ever, we need skilled diplomacy. That’s why I am so frustrated by this unilateralist bent of this Administration.” Of course, one must not write the obituary of the American diplomat. Despite the White House’s initial instincts and the protest of the Defence Department, President Bush – largely persuaded by Secretary Powell – agreed to use diplomacy at the UN to seek agreement on a new Security Council Resolution. However, the Bush Administration’s reluctance to use the UN became evident as UN diplomats complained that Washington was “just going through the motions” and setting deadlines not just on Iraq, but also on allies. Senior Bush Administration officials, fortheir part, often express frustration with what they view as the slow, plodding, often inefficient UN consultation process. Bruce Laingen, who spent 444 days as an American diplomat hostage in Iran, puts it this way: “Multilateralism requires patience. This administration does not seem to have the patience required.” Transatlantic insults, like Secretary of Defence Donald Rumsfeld’s remarks that France and Germany are part of “old Europe” have added to American diplomats’ concerns. Amid a rising tide of global anti-Americanism and the heightened terrorist threat, most diplomats also face the most stringent security measures in history, making life as an American diplomat more tense than before. In the end, America’s diplomats will have to adjust – just like everyone else – to Washington’s substantial shift in diplomatic tone and outlook, a shift that breaks from nearly five decades of post World War II multilateral diplomacy linked to multilateral collective security. Afshin Molavi, a Washington-based journalist, is the author of Persian Pilgrimages: Journeys Across Iran. Follow Al Jazeera English:"
75b8112a-0f4e-40d6-b23e-29ad780ba349,https://www.aljazeera.com/news/2003/4/23/creation-of-national-army-hits-ethnic-roadblocks,2026-03-17,Creation of national army hits ethnic roadblocks,"Afghanistan faces major hurdles in its attempts to form a national army. Members of the Afghan armystand to attention at agraduation ceremony in Kabul Recruiting an ethnically diverse national army to reflect Afghanistan’s patchwork society is proving no mean feat. A lack of funding, and lukewarm cooperation from the defence ministry are all hindering the creation of an Afghan national army, say experts. The United States estimates the Afghan National Army (ANA) of 70,000 will cost $350 million a year to train, equip and operate. So far 3,000 trained soldiers have graduated from the US-French military training programme, a substantially lower number than what Washington had expected by 2003. Afghanistan’s Defence Minister General Mohammad Fahim, an ethnic Tajik, has liberally populated the upper echelons of the budding national army with Tajiks, alienating other ethnicities including Pashtuns. In February Fahim appointed 38 generals. Among these, 37 were Tajiks and one Uzbek. Washington has urged the defence minister to re-shuffle the leadership. Fahim has said he would comply. Conflicts will likely arise between remnants of the Northern Alliance, which helped US forces in 2001 to topple the Taliban, and ethnic Pashtuns over who will command national troops, warned Dr. Alexei Malashenko, a senior researcher at the Carnegie Moscow Centre. “The creation of a national army in Afghanistan may create more political tensions,” said Malashenko, adding squabbles would arise among regional strongmen to hold leadership positions. Experts have described as highly optimistic US plans to prepare, supply and operate an army within two years. But observers warn that at this rate it could take more than 10 years to reach their goal. “The United States needs to enhance its support for the process,” said Mark Sedra, an expert on Afghanistan at the Bonn International Centre for Conversion.Washington needs to step up its financial support and provide more instructors. Washington took on the role of creating Kabul’s national army at the April 2002 Geneva Donor Security Conference which brought together countries looking to reform Afghanistan’s security sector. Washington has allocated $50 million to train and equip 18,000 soldiers over 18 months. Earlier this year, Afghan generals and representatives of foreign military forces attended a conference in Kabul to discuss how to rebuild the national army. By next summer it should have some 9,000 to 12,000 men, just a fraction of the 70,000 goal, according to US Lieutenant General Dan McNeill, commander of coalition forces in Afghanistan. McNeill was quoted as saying it had been a “tough road” due to ingrained ethnic and regional differences and suspicions. In November 2002 US President George W. Bush promised to provide Kabul with a team of US military advisors to help rebuild the beleaguered Afghan national army, train soldiers and provide surplus weapons. The army’s existing arsenal consists mainly of  archaic Soviet weapons. Some observers say another factor delaying an Afghan army from getting up on its feet is the reluctance of regional power brokers to dissolve their armies and encourage troops to join the national force. The most prominent commanders are General Fahim, former Herat governor Ismael Khan and Rashid Dostum. Fahim has been quoted as saying that a United Nations programme is necessary to provide livelihoods for decomissioned troops. The obstacles are daunting. For every trained soldier there are at least 100 armed men in regional ethnic militias. An estimated40% of trained forces desert after graduating. Low pay, poor living conditions, and confusion regarding the length of service only leads to more graduates to return home following basic training. Added to this, US money continues to fund regional strongmen who have signed up to fight al-Qaeda. Last year reports confirmed that Washington was training anti al-Qaeda units, drawn from militias and unanswerable to Kabul. These units were being paid three times the wages received by troops in the national army. Washington faces a catch-22 situation. It needs to maintain ties with regional strongmen to flush out elements of al-Qaeda and Taliban yet by doing so, it weakens the authority of the central government in Kabul. “The US was augmenting the military strength of warlords who opposed Kabul,” said Sedra. The United Nations has also cautioned that the Central Asian nation’s inability to get the national army back on its feet threatens security and stability. Follow Al Jazeera English:"
efd39471-1efb-4715-a6c4-b30185fc5018,https://www.aljazeera.com/news/2003/5/21/uk-officer-faces-war-crimes-probe,2026-03-17,UK officer faces war crimes probe,"A senior British army officer hailed for his leadership during the US-led war on Iraq is being investigated over alleged war crimes, said Britain’s defence ministry on Wednesday. Iraqi POWs have accused BritishandUS troops of torture Lieutenant Colonel Tim Collins, who headed the 600-strong Royal Irish regiment in southern Iraq, has been accused of breaching the Geneva Conventions through the ill-treatment of prisoners of war. A ministry official would only confirm that an investigation was being conducted. He would not give further details, saying it would compromise the allegations. The ministry would not name the officer but a British defence source told Reuters it was Collins who had returned from Iraq. The defence ministry refused to reveal the origins of the charges. But newspapers reported he was being accused of punching, kicking and threatening Iraqi prisoners of war. He also allegedly pistol-whipped one Iraqi civic leader. The Sun newspaper reported that Collins denied the allegations. Collins was praised widely for his speech he made on the eve of battle. A copy of his speech was reportedly tacked to the wall of US President George W. Bush’s office while Britain’s heir-to-throne Prince Charles wrote to him to praise his “stirring, civilised and humane” words. Last week human rights watchdog Amnesty International said it had received about 20 complaints from Iraqi civilians and soldiers accusing British and American troops of torture. The group said it was still collecting witness statements and had not corroborated reports of beatings and electric shock treatment. Follow Al Jazeera English:"
0806afc6-5877-4a92-8ee9-536c82708bed,https://www.aljazeera.com/news/2003/5/2/india-to-restore-ties-with-pakistan,2026-03-17,India to restore ties with Pakistan,"Appointing an Indian ambassador to Islamabad has signalled a thaw in India-Pakistan relations Prime Minister Vajpayee will return to thenegotiation table with Pakistan India will appoint a new ambassador to Pakistan and resume commercial flights to its neighbour, restoring ties that were broken last year amid the threat of war. India’s prime minister on Friday also offered to hold talks to end 50 years of acrimony between the nuclear-armed rivals. “This round of talks will be decisive,” Atal Bihari Vajpayee told Parliament. The Pakistani foreign ministry has welcomed the prospect ofrestoring diplomatic relations and expressed its willingness to reciprocate. “Knowing Pakistan’s policy…it stands to reason that we are for the upgrading of (diplomatic ties),” Kasuri told AFP in an interview. “In due course we will,” he replied when asked if Islamabad would name an ambassador to New Delhi. The formal announcement would be made by Prime Minister Zafarullah Jamali. Indian Prime Minister Atal Behari Vajpayee told the lower house of parliament earlier that New Delhi would restore civil aviation and diplomatic links with Pakistan, which were severed 17 months ago. Pakistani Information Minister Sheikh Rashid hailed Vajpayee’s move as “a gesture of hope” and said things were “moving fast” towards dialogue. Restoring diplomatic ties “will facilitate the process of dialogue between the two countries,” he said. Vajpayee’s announcement follows his offer of a “hand of friendship” to Pakistan on April 18 during a tour of Kashmir and comes ahead of a visit to South Asia next week by US Deputy Secretary of State Richard Armitage. It falls four days after Jamali telephoned Vajpayee to invite him to Pakistan for talks. He also offered to travel to India himself. Vajpayee’s announcement however came with New Delhi’s usual precondition: an end to infiltration into Indian territory by groups fighting Indian rule in Kashmir. Pakistan denies Indian allegations that it arms, trains, and funds the rebels and sends them over the Line of Control (LoC) that divides Kashmir between India and Pakistan. “Pakistan and India should start talking to each other rather than at each other, with India blaming us and us continuing to say there are gross human rights violations in Kashmir,” Kasuri said. The two countries went on war footing last year after India blamed Pakistan for an attack on the Indian Parliament in December 2001. Pakistan denied involvement. Tensions eased after intense diplomacy by the United States and Britain. Pakistani President Musharraf haswelcomed the initiative Last week, Vajpayee conditionally offered talks with Pakistan on Kashmir and other issues. Pakistani President General Pervez Musharraf has voiced some skepticism over the offer, but said it was a sign of improvement. “It has been decided to appoint a high commissioner in Pakistan and to restore civil aviation links,” Vajpayee told Parliament on Friday. Vajpayee’s comments came four days after Pakistani Prime Minister Zafarullah Khan Jamali phoned the Indian leader in the first such high-level contact in almost two years. “We are committed to the improvement of relations with Pakistan and we are willing to grasp every opportunity for doing so,” Vajpayee told Parliament. Friction between the nuclear-armed neighbors has roots in a territorial dispute over the Himalayan region of Kashmir, which is divided between India and Pakistan. Both countries claim Kashmir in its entirety, and they have fought two wars over the region since their independence from Britain in 1947. Last month, Vajpayee said he was ready for talks with Pakistan on issues including Kashmir, but repeated his demand that Islamabad cease funding, arming, training and giving shelter to Muslim fighters. Pakistan denies it directly supports the fighters. Vajpayee said that during the phone call Jamali condemned fighting and conveyed appreciation for the Indian leader’s recent comments favoring peace. “I emphasized the importance of economic cooperation, cultural exchanges, people-to-people contacts and civil aviation links,” Vajpayee said of the phone conversation. He said Jamali suggested resuming sporting events between teams from the two nations. Follow Al Jazeera English:"
3c8bc1dc-8af0-4ba4-b5a5-3a47da11f465,https://www.aljazeera.com/news/2003/4/21/chinese-controlled-kashmir,2026-03-17,Chinese-controlled Kashmir,"Few people know that Beijing is an interested party in Kashmir but it controls 20 percent of the strategic region. In the west, the Kashmir dispute that has led to thousands of deaths is regarded as a problem between India and Pakistan. It is often forgotten that 20 percent of the whole of Kashmir is controlled by neither – and is administered by the region’s other nuclear power. China has long been involved in a triangular relationship with Pakistan and India, but remains a silent third party to the dispute over Kashmir. The Chinese military keeps a low profile inAksai Chin Aksai Chin is for the most part an ice desert that Indian prime minister Nehru described before the Chinese invasion as barren and desolate “where not a blade of grass grows”; nevertheless its share of the disputed Kashmir region is substantial. While India and Pakistan continue to mass troops on either side of the line of control, China can observe the unstable situation with little need to get itself involved. Bringing international attention to its occupation of the Tibetan plateau, of which Aksai Chin is part, is not in its interest. Chinese foreign policy in recent years has been to publicly distance itself from both sides with regard to the dispute, though Beijing traditionally supported Pakistan against India during the Cold War. Now it tries to develop better relations with India – the resumption of flights between the two countries last year was evidence of this. Nevertheless China has a strategic interest in the survival of Pakistan and it will not want to see it drawn into a war which it cannot win – the reason why it secretly helped Pakistan to develop nuclear weapons. The war in 1962 ended with China seizing about 38,000 square kilometres of territory that had been under Indian administration, and annexing another 5,180 sq km of northern Kashmir that Pakistan had administered until the 1963 pact. However, the Indian government does not recognise the border agreement the Chinese reached with Pakistan over the section of Kashmir under Pakistani control. From a geopolitical point of view, China has consistently sought to constrain Indian power and confine it to the region of South Asia. In addition to the strategic interest in not having to confront a single powerful neighbour to the south of the Himalayas, China is also concerned by Indian claims to the whole of Kashmir and its interest in Tibet: India still hosts the Dalai Lama and his government in exile. China has not only contained India by strengthening Pakistan, but it has refused to recognise India’s claims to Sikkim and encouraged Bangladesh (then East Pakistan) to stand up to India. In the 1965 Indo-Pakistan war, China went so far as to threaten to open a second front against India. But its main support has been expressed through the supply of arms. Once Pakistan was divided in 1971, it became no match for Indian strength. Aksai Chin’s remoteness should not lead to its dismissal as unimportant. The 1962 war was fought for several reasons. The Chinese approach is determined by three broad considerations; border issues, geopolitics and international strategy, according to Professor Michael Yahuda of the London School of Economics. Among broader considerations, China is quite aware that both Pakistan and India are capable of continuing their military standoff. China can use India’s desire to control the whole of Kashmir as a bargaining tool. After all, India and China have made slow progress in resolving differences over their shared 4,500-km Himalayan frontier. A good portion of it, 3,268 km, still falls into the three disputed sectors. Their disputes over the western and eastern sectors are particularly sensitive and have prevented better relations for years. Despite the occasional breakthrough such as the exchange of approved maps in minor disputed sectors, as long as India calls for the return of areas of Kashmir China can counterclaim for large parts of the northeastern Indian states of Sikkim and Arunachal Pradesh. The longer the Kashmir dispute continues however, the more unlikely it is that China will compromise; it has already built some significant infrastructure in Aksai Chin during the last 40 years. Now an all-weather highway links remote western Tibet (Xizang province as China calls it) from Lhasa to Xinjiang province’s Kashgar, a vital logistical route. Military trucks ply the highway which is largely 4,000 metres above sea level making it one of the highest and coldest roads in the world. India and China were rivals in the Cold War era. From the 1970s this was reflected in eventual American support for China and the Soviet bloc’s support for India. Since the end of the Cold War, however, India and China have substantially reduced their enmity, finding reasons to co-operate and in some ways co-ordinate their dealings with the world’s sole superpower, the United States. After 11 September matters became more complicated. Both China and India have drawn closer to the US, India perhaps moreso than China. But China is anxious to avoid trouble with the US at a time of leadership succession, and at a time when it has to adjust to the terms of entry to the World Trade Organisation. Moreover, China has benefited to an extent from the “war on terror”, which has enabled it to suppress resistance to its rule in its Central Asian province of Xinjiang. Nevertheless the Chinese eye warily the American military presence in Central Asia and Afghanistan. From a Chinese point of view the renewing internationalisation of the Kashmir problem has come at a most difficult time, Chinese displeasure with Pakistan in raising tension in the region surfaced when Beijing opposed the Pakistani incursion into Kargil in 1999. It was one of the first occasions that the Chinese withheld support from Pakistan. China has also noticeably not joined Islamabad in calling for an international settlement of the Kashmiri issue, but has implicitly sided with New Delhi in calling for dialogue between the two. Follow Al Jazeera English:"
80e6ebf2-8867-4e19-9788-9fa051a9ebba,https://www.aljazeera.com/news/2003/4/26/bush-stems-flow-of-conflict-diamonds,2026-03-17,Bush stems flow of ‘conflict’ diamonds,"From now on, unforgeable documents must accompany uncut diamonds to reduce illegal trades that fund militant groups US President George Bush signed into law a bill that prohibits the import and export of so-called “conflict diamonds” to and from the United States on Friday, attempting to cut funds to insurgent groups in Africa. Angola’s United Nations AmbassadorIsmael Gaspar Martins welcomes themeasure to reduce diamond exports “Conflict diamonds have been used by rebel groups in Africa to finance their atrocities committed on civilian populations,” Bush said, adding that they have also been used to battle internationally recognized government. This policy marks the total US divorce from groups such as Angola’s UNITA that received US financial backing during the Cold War. The Clean Diamond Trade Act requires diamond dealers to keep records of all shipments, making such records available to US law enforcement authorities. “Conflict” or “blood” diamonds are mined in troubled regions in Africa and have helped finance civil wars in countries such as Sierra Leone, Angola and the Democratic Republic of Congo. Under the system, all batches of imported uncut diamonds must be accompanied by a specially produced document issued by national authorities, stating the country of origin of the diamonds and printed in such a way as to be hard to forge. The bill seeks to finalize the structure of the Kimberlevel. Diamond importing and exporting countries agreed to the pact, known as the Kimberley Process Certification Scheme last November after more than two years of negotiations. Fifty-two countries have announced that they formally adopt the Kimberley Process, launched in South Africa in 2000 and supported by the United Nations. Forty-six countries said they would implement the scheme on January 1, 2003, and a further six countries pledged to set it up by the end of 2003. Americans buy 65 to 70 percent of the world’s diamonds, including rough diamonds, polished stones and jewellry containing diamonds, according to the US General Accounting Office. The United States imports relatively few rough diamonds compared to other countries, but still purchased approximately $816 million worth from 53 countries in 2000, the GAO said. Countries participating in the Kimberley Process will hold their meeting next week in Johannesburg, South Africa. Follow Al Jazeera English:"
27977638-f458-49ba-a0b6-206cdfd6e60b,https://www.aljazeera.com/news/2003/5/18/black-weekend-for-us-forces-in-iraq,2026-03-17,Black weekend for US forces in Iraq,"Three US soldiers were killed in Iraq and six injured over the weekend as calls mounted in Washington for more military resources to be allocated to the country. US soldiers still suffering casualties A US soldier from the fourth infantry division was killed early Sunday after being hit by what US Central Command in Doha described as a “non-hostile gunshot”. A US Marine died and another was injured when their large transport vehicle crashed southeast of the town of al-Samawah. Another US soldier was killed and three injured while handling unexploded ordnance in Baghdad on Saturday. The four soldiers detonating the ammunition, belonging to the US Army V Corps, were ferried to a field hospital for treatment, the US Central Command said in Doha on Sunday. Centcom said in a statement that an investigation into the incident was underway. In a separate incident that occurred on Saturday, two US soldiers were injured when unidentified fighters launched a rocket-propelled grenade (RPG) at their transport truck near the town of Habbaniyah. On the same day, another attack by fighters armed with an RPG targeted a US Army tanker truck at a Baghdad fuel depot but did not cause any casualties. The tanker, however, was destroyed. Centcom said it was “on a humanitarian assistance fuel mission” at the time. US Marines detained four Iraqis to interrogate them, according to the statement. On Tuesday, two US Marines were killed when they were detonating unexploded ordnance. The following day, nine Iraqi children were killed and seven wounded in southern Iraq when a rocket they were playing with exploded. In the United States, some officials have suggested that more occuaption troops would be needed in Iraq to put an end to the chaos that prevailed following the collapse of President Saddam Hussein’s government last month. Democratic representative Jane Harman said US administrator for Iraq, Paul Bremer, “could do this job if we commit the resources. If we don’t, he’ll fail.” In February, Army Chief of Staff General Eric Shinseki said at least 200,000 troops would be needed to maintain peace in Iraq. His claims were publicly rejected twice by US Secretary of Defense Donald Rumsfeld. Follow Al Jazeera English:"
f0bd7558-a911-4cea-852b-17a231ea9c79,https://www.aljazeera.com/news/2003/5/19/new-explosions-shake-israel,2026-03-17,New explosions shake Israel,"Three people died when a Palestinian resistance attacker detonated a bomb at the entrance of a shopping mall in the northern Israeli town of Afula on Monday. The attacker was also killed and about 19 others injured in the fifth human-bomb operation in the occupied Palestinian territories and Israel in two days. Both Islamic Jihad and an off-shoot of Palestinian President Yasser Arafat’s Fatah faction claimed responsibility for the blast. The attacker was a 19-year-old female student from the occupied West Bank. The Palestinian leadership condemned the latest attack, and earlier operations in Gaza, Hebron and Jerusalem. Earlier on Monday a Palestinian on a bicycle blew himself up in the occupied Gaza Strip, lightly injuring three Israeli soldiers. Over the weekend two Jewish settlers were killed in Hebron after a Palestinian set off an explosion, while six Israelis and a Palestinian died in a bus bombing in Jerusalem. In a statement, the leadership said the blasts did not promote the cause of Palestinians. But Arab League chief Amr Moussa refused to criticise the attacks, saying they were a “natural” outcome of occupation. “So long as there is occupation, there has to be a resistance,” said Moussa after talks with Palestinian foreign minister Nabil Shaath. Israel again linked the attacks to Palestinian President Yasser Arafat. A high-ranking official said Israeli Prime Minister Ariel Sharon’s government would refuse to see foreign officials who meet with Arafat in the future, reported AFP. Israeli officials claimed they had made “good-will gestures”  towards the Palestinians. But Israel has tightened a closure of the occupied West Bank and Gaza Strip, making it impossible for the few remaining Palestinians who are still allowed to work in Israel to get there. UN operations impossible The closure could make United Nations humanitarian operations impossible in the occupied Gaza Strip, said UN Coordinator for the Middle East Peace Process Terje Roed-Larsen. Roed-Larsen said he had met senior Israeli officials to discuss the clampdown and would hold further talks. The world body envoy said that two-thirds of the 1.2 million Palestinians living in Gaza depended on the UN Relief and Works Agency (UNRWA) for health, education and social services. Roed-Larsen said if the world body was unable to provide these services than Israel has a “prime responsibility” for Palestinians under its occupation. Follow Al Jazeera English:"
